indicativo,fecha,Temperatura Maxima,Temperatura Minima,Cantidad dias de lluvia,w_racha,hr,p_mes
0076,2005-01-01,18.7,-1.1,0.0,33.0,61.0,0.0
0076,2005-02-01,20.1,0.4,9.0,30.0,61.0,25.2
0076,2005-03-01,23.0,0.0,6.0,34.0,70.0,17.2
0076,2005-04-01,23.2,7.4,2.0,8.0,65.0,4.2
0076,2005-05-01,26.3,11.7,12.0,22.0,63.0,38.2
0076,2005-06-01,34.9,15.4,5.0,23.0,64.0,10.0
0076,2005-07-01,30.9,18.4,9.0,12.0,63.0,30.9
0076,2005-08-01,29.9,14.2,11.0,36.0,61.0,94.1
0076,2005-09-01,30.0,12.3,13.0,7.0,65.0,164.9
0076,2005-10-01,26.0,11.7,13.0,16.33,73.0,48.3
0076,2005-11-01,22.5,2.1,12.0,25.67,67.0,141.2
0076,2005-12-01,16.9,-1.5,5.0,35.0,62.0,6.8
0076,2006-01-01,18.4,0.2,16.0,4.0,70.0,106.3
0076,2006-02-01,21.1,0.6,3.0,24.0,63.0,6.7
0076,2006-03-01,23.6,2.5,7.0,99.0,65.0,16.7
0076,2006-04-01,24.7,6.7,4.0,6.0,64.0,3.3
0076,2006-05-01,28.1,12.1,6.0,8.0,62.0,2.6
0076,2006-06-01,30.4,12.2,2.0,6.0,62.0,3.4
0076,2006-07-01,33.5,21.0,5.0,22.0,60.0,0.0
0076,2006-08-01,32.6,17.5,9.0,2.0,59.0,68.0
0076,2006-09-01,31.3,15.4,6.0,3.0,68.0,72.1
0076,2006-10-01,29.7,13.2,6.0,28.0,70.0,47.5
0076,2006-11-01,23.4,6.6,3.0,30.0,67.0,1.8
0076,2006-12-01,19.9,1.6,15.0,35.0,64.0,33.2
0076,2007-01-01,21.3,-0.5,2.0,29.0,63.0,0.2
0076,2007-02-01,24.1,3.9,8.0,27.0,63.0,28.9
0076,2007-03-01,23.6,2.6,10.0,99.0,54.0,19.0
0076,2007-04-01,24.2,6.9,13.0,99.0,68.0,80.1
0076,2007-05-01,29.4,9.5,11.0,29.0,58.0,23.7
0076,2007-06-01,31.8,14.4,2.0,29.0,62.0,1.9
0076,2007-07-01,30.3,16.5,2.0,23.0,62.0,7.9
0076,2007-08-01,31.3,14.8,13.0,2.0,61.0,180.5
0076,2007-09-01,28.5,10.0,5.0,7.0,60.0,19.7
0076,2007-10-01,26.8,9.6,10.0,15.0,64.0,149.9
0076,2007-11-01,20.5,-1.2,2.0,23.0,56.0,1.3
0076,2007-12-01,21.5,-1.1,5.0,31.0,58.0,21.5
0076,2008-01-01,19.1,-0.1,8.0,25.0,67.0,16.7
0076,2008-02-01,19.4,2.7,9.0,20.0,70.0,30.7
0076,2008-03-01,21.2,1.4,7.0,34.0,59.0,13.5
0076,2008-04-01,22.3,7.6,7.0,28.0,63.0,17.0
0076,2008-05-01,23.8,10.0,15.0,63.5,65.0,150.6
0076,2008-06-01,31.1,13.9,10.0,99.0,62.0,25.7
0076,2008-07-01,31.3,16.8,7.0,21.0,60.0,24.9
0076,2008-08-01,32.1,18.8,4.0,7.0,60.0,9.9
0076,2008-09-01,31.1,12.4,7.0,2.0,59.0,35.0
0076,2008-10-01,25.2,3.8,13.0,8.0,67.0,89.1
0076,2008-11-01,21.2,0.2,7.0,21.0,60.0,37.1
0076,2008-12-01,18.5,0.5,13.0,7.0,64.0,59.3
0076,2009-01-01,21.6,-2.4,10.0,29.0,64.0,49.5
0076,2009-02-01,17.7,2.8,5.0,32.0,63.0,32.2
0076,2009-03-01,18.9,2.2,10.0,30.0,63.0,56.6
0076,2009-04-01,23.9,6.8,13.0,7.0,66.0,47.3
0076,2009-05-01,26.2,10.9,4.0,4.0,64.0,38.5
0076,2009-06-01,31.7,15.1,4.0,15.0,58.0,7.3
0076,2009-07-01,34.8,17.1,3.0,22.0,61.0,18.1
0076,2009-08-01,35.6,20.5,4.0,33.0,59.0,2.0
0076,2009-09-01,29.7,13.3,9.0,8.0,60.0,41.8
0076,2009-10-01,27.9,8.1,6.0,99.0,63.0,58.1
0076,2009-11-01,23.7,5.1,4.0,29.0,61.0,2.8
0076,2009-12-01,19.7,-2.7,4.75,4.0,64.0,15.45
0076,2010-01-01,15.9,-1.5,5.5,99.0,66.0,28.1
0076,2010-02-01,19.9,-1.7,6.25,32.0,60.0,40.75
0076,2010-03-01,21.1,-1.0,7.0,99.0,63.0,53.4
0076,2010-04-01,23.9,6.3,9.0,6.0,64.0,15.4
0076,2010-05-01,26.6,7.4,12.0,22.0,62.0,88.4
0076,2010-06-01,29.7,13.8,7.0,15.0,61.0,24.3
0076,2010-07-01,31.5,19.9,1.0,23.0,60.0,1.5
0076,2010-08-01,37.4,16.5,9.0,2.0,62.0,59.0
0076,2010-09-01,29.4,12.3,11.0,32.0,62.0,100.7
0076,2010-10-01,26.1,5.9,6.0,30.4,63.25,55.9
0076,2010-11-01,23.8,1.0,6.0,28.8,64.5,5.9
0076,2010-12-01,19.7,-2.0,10.0,27.2,65.75,23.9
0076,2011-01-01,17.6,-3.3,8.0,25.6,67.0,25.7
0076,2011-02-01,20.3,2.8,6.0,24.0,66.0,22.7
0076,2011-03-01,22.4,2.4,11.0,6.0,68.0,126.6
0076,2011-04-01,25.9,9.4,6.0,13.0,64.0,7.1
0076,2011-05-01,30.0,11.8,7.0,99.0,62.0,52.4
0076,2011-06-01,30.5,13.3,8.0,10.0,62.0,76.2
0076,2011-07-01,30.6,16.1,10.0,9.0,62.0,117.4
0076,2011-08-01,33.0,18.5,3.0,30.0,61.0,4.3
0076,2011-09-01,30.7,14.3,5.0,29.0,65.0,52.6
0076,2011-10-01,29.8,9.2,9.0,99.0,61.0,99.9
0076,2011-11-01,23.1,5.9,15.0,5.0,59.5,114.9
0076,2011-12-01,19.1,1.8,1.0,30.0,58.0,0.4
0076,2012-01-01,18.3,0.5,2.0,26.0,62.0,5.1
0076,2012-02-01,19.9,-3.5,4.0,33.0,49.0,7.2
0076,2012-03-01,23.3,3.5,5.0,7.0,58.0,32.0
0076,2012-04-01,22.6,6.9,13.0,34.0,60.0,51.8
0076,2012-05-01,28.0,9.2,7.0,24.0,58.0,19.7
0076,2012-06-01,31.8,16.1,5.0,6.0,60.8,20.5
0076,2012-07-01,33.3,16.3,2.0,32.0,63.6,30.2
0076,2012-08-01,34.0,17.9,6.0,1.0,66.4,22.5
0076,2012-09-01,29.9,13.2,11.0,27.0,69.2,62.7
0076,2012-10-01,26.4,6.0,16.0,99.0,72.0,158.8
0076,2012-11-01,21.1,3.0,10.0,26.0,70.0,27.5
0076,2012-12-01,20.4,2.2,3.0,32.0,66.0,8.2
0076,2013-01-01,19.2,3.2,8.0,99.0,63.0,32.2
0076,2013-02-01,21.4,0.7,6.0,7.0,58.0,68.3
0076,2013-03-01,21.8,4.6,15.0,7.0,67.0,109.1
0076,2013-04-01,22.5,6.9,9.0,7.0,65.0,76.8
0076,2013-05-01,27.8,10.3,11.0,26.0,64.0,42.5
0076,2013-06-01,30.1,14.0,7.0,8.0,62.0,19.0
0076,2013-07-01,33.0,19.8,3.0,23.0,63.0,9.3
0076,2013-08-01,31.2,18.1,7.0,35.0,70.0,33.1
0076,2013-09-01,30.3,15.6,7.0,25.0,74.0,16.0
0076,2013-10-01,29.3,11.7,10.0,34.0,80.0,65.8
0076,2013-11-01,25.8,1.8,6.0,99.0,67.0,100.2
0076,2013-12-01,18.1,3.0,4.0,31.0,74.0,18.1
0076,2014-01-01,18.8,3.8,11.0,99.0,78.0,29.6
0076,2014-02-01,21.4,3.1,8.0,31.0,70.0,25.2
0076,2014-03-01,22.9,5.9,5.0,99.0,69.0,12.2
0076,2014-04-01,23.5,9.4,9.0,6.0,75.0,28.6
0076,2014-05-01,24.7,11.6,9.0,4.0,72.0,50.7
0076,2014-06-01,33.2,14.3,4.0,7.0,67.0,15.1
0076,2014-07-01,32.0,17.1,7.0,99.0,68.0,32.4
0076,2014-08-01,32.9,17.8,4.0,7.0,73.0,56.2
0076,2014-09-01,29.3,15.2,10.0,4.0,79.0,136.3
0076,2014-10-01,28.5,13.2,4.0,1.0,76.0,7.4
0076,2014-11-01,23.7,7.6,5.0,50.0,71.0,16.55
0076,2014-12-01,18.9,2.0,6.0,99.0,66.0,25.7
0076,2015-01-01,18.3,1.6,4.0,30.0,66.0,13.6
0076,2015-02-01,19.9,0.5,4.0,1.0,61.0,10.2
0076,2015-03-01,23.4,3.6,8.0,6.0,71.0,59.3
0076,2015-04-01,24.7,6.0,3.0,30.0,69.0,11.1
0076,2015-05-01,28.9,12.8,4.0,99.0,66.0,28.7
0076,2015-06-01,32.4,16.6,4.0,4.0,61.0,10.9
0076,2015-07-01,33.0,21.2,4.0,99.0,64.0,13.8
0076,2015-08-01,32.8,17.3,10.0,13.0,68.0,42.1
0076,2015-09-01,29.2,15.0,12.0,4.0,67.0,41.1
0076,2015-10-01,29.2,9.8,12.0,27.0,72.0,74.8
0076,2015-11-01,22.6,2.0,2.0,29.0,70.0,17.9
0076,2015-12-01,18.9,4.7,3.0,35.0,78.0,0.4
0076,2016-01-01,20.5,1.4,3.0,26.0,65.0,1.7
0076,2016-02-01,23.3,2.8,8.0,99.0,63.0,34.1
0076,2016-03-01,21.5,3.7,8.0,29.0,64.0,33.7
0076,2016-04-01,22.7,8.4,13.0,8.0,71.0,44.5
0076,2016-05-01,26.9,8.0,8.0,25.0,69.0,16.9
0076,2016-06-01,31.3,12.9,3.0,6.0,64.0,27.7
0076,2016-07-01,31.2,18.3,3.0,25.0,65.0,14.2
0076,2016-08-01,31.8,19.8,3.0,36.0,64.0,0.6
0076,2016-09-01,31.6,14.9,8.0,27.0,65.0,37.1
0076,2016-10-01,25.7,12.4,14.0,34.0,78.0,96.4
0076,2016-11-01,23.2,6.0,11.0,22.0,72.0,77.8
0076,2016-12-01,18.2,4.1,5.0,3.0,74.0,22.2
0076,2017-01-01,16.9,-0.6,7.0,7.0,66.0,34.6
0076,2017-02-01,19.2,4.3,5.0,22.0,74.0,28.3
0076,2017-03-01,24.1,5.9,6.0,25.0,70.0,84.0
0076,2017-04-01,22.3,6.3,10.0,20.0,68.0,41.9
0076,2017-05-01,27.0,10.5,6.0,6.0,64.0,15.5
0076,2017-06-01,32.3,16.4,7.0,27.0,62.0,12.1
0076,2017-07-01,31.0,18.1,3.0,26.0,65.0,2.9
0076,2017-08-01,34.3,17.0,9.0,8.0,65.0,17.5
0076,2017-09-01,29.1,12.0,13.0,99.0,67.0,64.9
0076,2017-10-01,26.0,12.4,7.0,27.0,72.0,43.5
0076,2017-11-01,23.2,3.6,2.0,1.0,60.0,5.3
0076,2017-12-01,21.9,1.9,6.0,30.0,61.0,3.2
