indicativo,fecha,Temperatura Maxima,Temperatura Minima,Cantidad dias de lluvia,w_racha,hr,p_mes
C649I,2005-01-01,22.6,12.0,6,2.0,56.0,15.0
C649I,2005-02-01,22.8,11.3,16,22.0,62.0,102.9
C649I,2005-03-01,27.8,12.1,5,21.0,66.0,16.7
C649I,2005-04-01,24.5,14.4,3,1.0,61.0,2.1
C649I,2005-05-01,26.3,16.5,4,3.0,62.0,0.0
C649I,2005-06-01,27.8,17.4,1,2.5,64.0,0.0
C649I,2005-07-01,33.7,19.0,0,2.0,59.0,0.0
C649I,2005-08-01,28.8,19.5,1,3.0,63.0,3.4
C649I,2005-09-01,37.7,20.8,3,2.0,62.0,6.6
C649I,2005-10-01,29.8,18.3,10,3.0,68.0,9.5
C649I,2005-11-01,27.3,14.9,9,19.0,63.0,30.0
C649I,2005-12-01,24.4,13.7,8,35.0,64.0,26.9
C649I,2006-01-01,21.3,12.3,15,36.0,62.0,124.4
C649I,2006-02-01,23.1,12.3,14,24.67,63.0,41.0
C649I,2006-03-01,27.6,13.1,3,13.33,63.0,3.6
C649I,2006-04-01,31.6,14.4,6,2.0,60.0,17.1
C649I,2006-05-01,26.0,13.9,2,35.0,59.0,0.3
C649I,2006-06-01,26.6,16.6,0,2.0,59.0,0.0
C649I,2006-07-01,29.4,19.7,1,99.0,60.0,0.1
C649I,2006-08-01,29.8,20.2,1,36.0,61.0,0.2
C649I,2006-09-01,38.9,18.7,7,35.0,62.0,7.3
C649I,2006-10-01,31.2,17.0,5,1.0,65.0,98.9
C649I,2006-11-01,29.1,16.2,3,21.0,62.0,9.1
C649I,2006-12-01,23.3,13.1,7,99.0,57.0,5.6
C649I,2007-01-01,24.4,12.0,5,9.0,57.0,81.6
C649I,2007-02-01,27.8,13.1,2,1.0,62.0,0.3
C649I,2007-03-01,25.1,12.7,6,35.0,60.0,7.4
C649I,2007-04-01,26.3,13.9,2,36.0,59.0,0.7
C649I,2007-05-01,31.7,13.8,2,36.0,53.0,1.1
C649I,2007-06-01,29.0,15.9,0,34.0,57.0,0.0
C649I,2007-07-01,38.9,18.8,0,36.0,56.0,0.0
C649I,2007-08-01,29.3,19.2,0,36.0,61.0,0.0
C649I,2007-09-01,26.9,17.1,0,99.0,64.0,0.0
C649I,2007-10-01,30.2,17.7,4,99.0,61.0,3.1
C649I,2007-11-01,29.1,14.5,8,36.0,62.0,15.6
C649I,2007-12-01,24.1,13.4,4,99.0,61.0,26.1
C649I,2008-01-01,23.6,12.6,4,35.0,57.0,1.2
C649I,2008-02-01,26.8,13.3,6,34.0,63.0,17.9
C649I,2008-03-01,24.4,15.0,1,36.0,62.0,0.2
C649I,2008-04-01,33.7,14.6,0,20.0,51.0,0.0
C649I,2008-05-01,26.7,15.3,1,1.0,57.0,2.1
C649I,2008-06-01,28.3,16.9,0,35.0,58.0,0.0
C649I,2008-07-01,28.7,19.7,0,35.0,59.0,0.0
C649I,2008-08-01,30.3,19.9,0,36.0,61.0,0.0
C649I,2008-09-01,31.0,18.5,4,29.0,66.0,16.7
C649I,2008-10-01,26.5,14.9,9,36.0,61.0,17.5
